split,filename,stem,pattern,sample_id,country,center_lon,center_lat,minx,maxx,miny,maxy,width,height,mode,crs,pixel_scale,tiepoint,datetime
test,1123_Australia_150.66270759999998_-33.80896866.tiff,1123_Australia_150.66270759999998_-33.80896866,id_country_lon_lat,1123,Australia,150.66270759999998,-33.80896866,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 16769695.891567865, -4001179.9369655186, 0.0)",
test,1137_Australia_130.9766773_-12.51971511.tiff,1137_Australia_130.9766773_-12.51971511,id_country_lon_lat,1137,Australia,130.9766773,-12.51971511,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 14578257.022830913, -1402913.237431721, 0.0)",
test,114_US_-13544758.554120153_-13540758.554120153_4542169.146012883_4546169.146012883.tiff,114_US_-13544758.554120153_-13540758.554120153_4542169.146012883_4546169.146012883,id_country_minx_maxx_miny_maxy,114,US,,,-13544758.554120153,-13540758.554120153,4542169.146012883,4546169.146012883,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13544758.554120153, 4546169.146012883, 0.0)",
test,1150_Australia_146.24447790000002_-20.05645164.tiff,1150_Australia_146.24447790000002_-20.05645164,id_country_lon_lat,1150,Australia,146.24447790000002,-20.05645164,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 16277860.811156152, -2277719.5991585935, 0.0)",
test,1151_Australia_151.3533699_-24.024612100000002.tiff,1151_Australia_151.3533699_-24.024612100000002,id_country_lon_lat,1151,Australia,151.3533699,-24.024612100000002,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 16846580.067113977, -2754407.487811642, 0.0)",
test,1155_Australia_139.24770990000002_-35.17974699.tiff,1155_Australia_139.24770990000002_-35.17974699,id_country_lon_lat,1155,Australia,139.24770990000002,-35.17974699,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 15498984.160197482, -4186334.950531672, 0.0)",
test,1182_Australia_115.7950102_-32.15368975.tiff,1182_Australia_115.7950102_-32.15368975,id_country_lon_lat,1182,Australia,115.7950102,-32.15368975,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 12888241.571865916, -3781501.74565349, 0.0)",
test,11_US_-9760917.78060105_-9756917.78060105_3925621.379298907_3929621.379298907.tiff,11_US_-9760917.78060105_-9756917.78060105_3925621.379298907_3929621.379298907,id_country_minx_maxx_miny_maxy,11,US,,,-9760917.78060105,-9756917.78060105,3925621.379298907,3929621.379298907,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -9760917.78060105, 3929621.379298907, 0.0)",
test,1203_Nil_48.91541357_31.28604197.tiff,1203_Nil_48.91541357_31.28604197,id_country_lon_lat,1203,Nil,48.91541357,31.28604197,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 5443238.930554784, 3671953.1215822855, 0.0)",
test,1205_Nil_51.48828567_35.13280116.tiff,1205_Nil_51.48828567_35.13280116,id_country_lon_lat,1205,Nil,51.48828567,35.13280116,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 5729649.742603005, 4183942.9681414254, 0.0)",
test,1232_Nil_36.71161618_46.79942523.tiff,1232_Nil_36.71161618_46.79942523,id_country_lon_lat,1232,Nil,36.71161618,46.79942523,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 4084718.4193557035, 5911396.396388396, 0.0)",
test,1234_Nil_35.97636034_48.51755296.tiff,1234_Nil_35.97636034_48.51755296,id_country_lon_lat,1234,Nil,35.97636034,48.51755296,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 4002870.1136441226, 6195393.199196907, 0.0)",
test,1250_Nil_30.26865367_50.80741953.tiff,1250_Nil_30.26865367_50.80741953,id_country_lon_lat,1250,Nil,30.26865367,50.80741953,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 3367491.113542351, 6589298.905670564, 0.0)",
test,1253_Nil_32.54234247_46.50626937.tiff,1253_Nil_32.54234247_46.50626937,id_country_lon_lat,1253,Nil,32.54234247,46.50626937,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 3620596.992980721, 5863853.759892154, 0.0)",
test,125_US_-13239501.586094055_-13235501.586094055_4187799.562209483_4191799.562209483.tiff,125_US_-13239501.586094055_-13235501.586094055_4187799.562209483_4191799.562209483,id_country_minx_maxx_miny_maxy,125,US,,,-13239501.586094055,-13235501.586094055,4187799.562209483,4191799.562209483,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13239501.586094055, 4191799.562209483, 0.0)",
test,1263_Nil_174.6258821_-36.66005341.tiff,1263_Nil_174.6258821_-36.66005341,id_country_lon_lat,1263,Nil,174.6258821,-36.66005341,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 19437264.274698228, -4389827.952234854, 0.0)",
test,1275_Nil_175.66087290000002_-37.43709567.tiff,1275_Nil_175.66087290000002_-37.43709567,id_country_lon_lat,1275,Nil,175.66087290000002,-37.43709567,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 19552478.92352995, -4498208.676753572, 0.0)",
test,127_Canada_-137.5122211_60.77209184.tiff,127_Canada_-137.5122211_60.77209184,id_country_lon_lat,127,Canada,-137.5122211,60.77209184,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -15309790.43070405, 8575678.835998198, 0.0)",
test,128_Canada_-113.7218489_53.5444912.tiff,128_Canada_-113.7218489_53.5444912,id_country_lon_lat,128,Canada,-113.7218489,53.5444912,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -12661458.311617598, 7086356.0578315435, 0.0)",
test,1291_India_77.28401993_28.51165701.tiff,1291_India_77.28401993_28.51165701,id_country_lon_lat,1291,India,77.28401993,28.51165701,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 8601217.745064806, 3315636.5312284427, 0.0)",
test,130_US_-13039469.366725652_-13035469.366725652_4020558.5773242554_4024558.5773242554.tiff,130_US_-13039469.366725652_-13035469.366725652_4020558.5773242554_4024558.5773242554,id_country_minx_maxx_miny_maxy,130,US,,,-13039469.366725652,-13035469.366725652,4020558.5773242554,4024558.5773242554,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13039469.366725652, 4024558.5773242554, 0.0)",
test,1317_India_73.02359905_19.07932872.tiff,1317_India_73.02359905_19.07932872,id_country_lon_lat,1317,India,73.02359905,19.07932872,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 8126949.862138176, 2166277.8163792645, 0.0)",
test,1320_India_88.38557842_22.69142818.tiff,1320_India_88.38557842_22.69142818,id_country_lon_lat,1320,India,88.38557842,22.69142818,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 9837037.583183348, 2596744.5046991277, 0.0)",
test,1328_India_72.56717040000001_22.98147723.tiff,1328_India_72.56717040000001_22.98147723,id_country_lon_lat,1328,India,72.56717040000001,22.98147723,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 8076140.457236716, 2631778.775526244, 0.0)",
test,1329_India_74.95372596_30.18218378.tiff,1329_India_74.95372596_30.18218378,id_country_lon_lat,1329,India,74.95372596,30.18218378,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 8341810.606925771, 3528989.4310890217, 0.0)",
test,1356_India_78.15309461_8.868660649.tiff,1356_India_78.15309461_8.868660649,id_country_lon_lat,1356,India,78.15309461,8.868660649,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 8697962.695903733, 993220.8586899512, 0.0)",
test,1380_New Zealand_174.7471424_-41.3236888.tiff,1380_New Zealand_174.7471424_-41.3236888,id_country_lon_lat,1380,New Zealand,174.7471424,-41.3236888,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 19450762.909547668, -5058203.563690338, 0.0)",
test,1395_New Zealand_175.0154737_-36.95969958.tiff,1395_New Zealand_175.0154737_-36.95969958,id_country_lon_lat,1395,New Zealand,175.0154737,-36.95969958,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 19480633.41322756, -4431490.916120758, 0.0)",
test,139_US_-13591365.798518995_-13587365.798518995_4450182.396225459_4454182.396225459.tiff,139_US_-13591365.798518995_-13587365.798518995_4450182.396225459_4454182.396225459,id_country_minx_maxx_miny_maxy,139,US,,,-13591365.798518995,-13587365.798518995,4450182.396225459,4454182.396225459,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13591365.798518995, 4454182.396225459, 0.0)",
test,1403_New Zealand_175.01735060000001_-36.89243142.tiff,1403_New Zealand_175.01735060000001_-36.89243142,id_country_lon_lat,1403,New Zealand,175.01735060000001,-36.89243142,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 19480842.348779835, -4422123.701720248, 0.0)",
test,1405_papua new guinea_147.0119513_-6.659811971.tiff,1405_papua new guinea_147.0119513_-6.659811971,id_country_lon_lat,1405,papua new guinea,147.0119513,-6.659811971,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 16363295.559241531, -741041.939048595, 0.0)",
test,1409_Ukraine_36.07752612_49.81884302.tiff,1409_Ukraine_36.07752612_49.81884302,id_country_lon_lat,1409,Ukraine,36.07752612,49.81884302,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 4014131.836759427, 6416961.551406342, 0.0)",
test,1410_Ukraine_36.14888835_50.12305029.tiff,1410_Ukraine_36.14888835_50.12305029,id_country_lon_lat,1410,Ukraine,36.14888835,50.12305029,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 4022075.843864899, 6469613.317786283, 0.0)",
test,141_Canada_-81.87268066_42.97217747.tiff,141_Canada_-81.87268066_42.97217747,id_country_lon_lat,141,Canada,-81.87268066,42.97217747,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -9116025.120951498, 5309737.932552242, 0.0)",
test,1422_Libya_90.3845398_23.93682711.tiff,1422_Libya_90.3845398_23.93682711,id_country_lon_lat,1422,Libya,90.3845398,23.93682711,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 10059560.946120368, 2747712.104981761, 0.0)",
test,1430_Egypt_30.78872962_30.44499624.tiff,1430_Egypt_30.78872962_30.44499624,id_country_lon_lat,1430,Egypt,30.78872962,30.44499624,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 3425385.7034701793, 3562879.168836597, 0.0)",
test,1433_Jordan_36.10737529_32.51251081.tiff,1433_Jordan_36.10737529_32.51251081,id_country_lon_lat,1433,Jordan,36.10737529,32.51251081,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 4017454.631164429, 3832775.2574842493, 0.0)",
test,143_Canada_-120.9118681_51.56023062.tiff,143_Canada_-120.9118681_51.56023062,id_country_lon_lat,143,Canada,-120.9118681,51.56023062,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13461847.58775546, 6722996.785703711, 0.0)",
test,1445_UK_-153872.80842828838_-149872.80842828838_7031825.279560297_7035825.279560297.tiff,1445_UK_-153872.80842828838_-149872.80842828838_7031825.279560297_7035825.279560297,id_country_minx_maxx_miny_maxy,1445,UK,,,-153872.80842828838,-149872.80842828838,7031825.279560297,7035825.279560297,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -153872.80842828838, 7035825.279560297, 0.0)",
test,145_Canada_-64.82404012_44.18053071.tiff,145_Canada_-64.82404012_44.18053071,id_country_lon_lat,145,Canada,-64.82404012,44.18053071,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -7218179.137321138, 5495422.362707024, 0.0)",
test,1469_UK_-249691.49195958598_-245691.49195958598_6963285.665054767_6967285.665054767.tiff,1469_UK_-249691.49195958598_-245691.49195958598_6963285.665054767_6967285.665054767,id_country_minx_maxx_miny_maxy,1469,UK,,,-249691.49195958598,-245691.49195958598,6963285.665054767,6967285.665054767,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -249691.49195958598, 6967285.665054767, 0.0)",
test,1473_UK_-72614.42870386629_-68614.42870386629_6866588.187334395_6870588.187334395.tiff,1473_UK_-72614.42870386629_-68614.42870386629_6866588.187334395_6870588.187334395,id_country_minx_maxx_miny_maxy,1473,UK,,,-72614.42870386629,-68614.42870386629,6866588.187334395,6870588.187334395,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -72614.42870386629, 6870588.187334395, 0.0)",
test,1474_UK_-205966.83421477902_-201966.83421477902_6595604.791202625_6599604.791202625.tiff,1474_UK_-205966.83421477902_-201966.83421477902_6595604.791202625_6599604.791202625,id_country_minx_maxx_miny_maxy,1474,UK,,,-205966.83421477902,-201966.83421477902,6595604.791202625,6599604.791202625,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -205966.83421477902, 6599604.791202625, 0.0)",
test,147_Canada_-117.6947417_49.10425886.tiff,147_Canada_-117.6947417_49.10425886,id_country_lon_lat,147,Canada,-117.6947417,49.10425886,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13103718.71508986, 6294570.49248815, 0.0)",
test,151_US_-13046406.797390921_-13042406.797390921_3925363.1656900174_3929363.1656900174.tiff,151_US_-13046406.797390921_-13042406.797390921_3925363.1656900174_3929363.1656900174,id_country_minx_maxx_miny_maxy,151,US,,,-13046406.797390921,-13042406.797390921,3925363.1656900174,3929363.1656900174,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13046406.797390921, 3929363.1656900174, 0.0)",
test,1536_-11811645.996306727_-11807645.996306727_4254369.837366666_4258369.837366666.tiff,1536_-11811645.996306727_-11807645.996306727_4254369.837366666_4258369.837366666,id_minx_maxx_miny_maxy,1536,,,,-11811645.996306727,-11807645.996306727,4254369.837366666,4258369.837366666,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -11811645.996306727, 4258369.837366666, 0.0)",
test,1553_-13324160.058830556_-13320160.058830556_4747211.359145026_4751211.359145026.tiff,1553_-13324160.058830556_-13320160.058830556_4747211.359145026_4751211.359145026,id_minx_maxx_miny_maxy,1553,,,,-13324160.058830556,-13320160.058830556,4747211.359145026,4751211.359145026,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13324160.058830556, 4751211.359145026, 0.0)",
test,1557_-13317480.889383888_-13313480.889383888_4790681.8974728035_4794681.8974728035.tiff,1557_-13317480.889383888_-13313480.889383888_4790681.8974728035_4794681.8974728035,id_minx_maxx_miny_maxy,1557,,,,-13317480.889383888,-13313480.889383888,4790681.8974728035,4794681.8974728035,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13317480.889383888, 4794681.8974728035, 0.0)",
test,155_US_-13180048.07245946_-13176048.07245946_4058741.269388727_4062741.269388727.tiff,155_US_-13180048.07245946_-13176048.07245946_4058741.269388727_4062741.269388727,id_country_minx_maxx_miny_maxy,155,US,,,-13180048.07245946,-13176048.07245946,4058741.269388727,4062741.269388727,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13180048.07245946, 4062741.269388727, 0.0)",
test,156_Canada_-117.6106942_53.35646866.tiff,156_Canada_-117.6106942_53.35646866,id_country_lon_lat,156,Canada,-117.6106942,53.35646866,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13094362.590187414, 7051209.109153564, 0.0)",
test,1586_UK_-196649.59355348663_-192649.59355348663_7351677.563423764_7355677.563423764.tiff,1586_UK_-196649.59355348663_-192649.59355348663_7351677.563423764_7355677.563423764,id_country_minx_maxx_miny_maxy,1586,UK,,,-196649.59355348663,-192649.59355348663,7351677.563423764,7355677.563423764,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -196649.59355348663, 7355677.563423764, 0.0)",
test,159_Canada_-113.980777_50.64806113.tiff,159_Canada_-113.980777_50.64806113,id_country_lon_lat,159,Canada,-113.980777,50.64806113,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -12690282.055861669, 6561274.345150795, 0.0)",
test,159_US_-13561985.245318016_-13557985.245318016_4425596.872433869_4429596.872433869.tiff,159_US_-13561985.245318016_-13557985.245318016_4425596.872433869_4429596.872433869,id_country_minx_maxx_miny_maxy,159,US,,,-13561985.245318016,-13557985.245318016,4425596.872433869,4429596.872433869,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13561985.245318016, 4429596.872433869, 0.0)",
test,1602_UK_26116.56554390492_30116.56554390492_6783990.70498622_6787990.70498622.tiff,1602_UK_26116.56554390492_30116.56554390492_6783990.70498622_6787990.70498622,id_country_minx_maxx_miny_maxy,1602,UK,,,26116.56554390492,30116.56554390492,6783990.70498622,6787990.70498622,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, 26116.56554390492, 6787990.70498622, 0.0)",
test,1604_UK_-190521.89032565185_-186521.89032565185_6612368.861751776_6616368.861751776.tiff,1604_UK_-190521.89032565185_-186521.89032565185_6612368.861751776_6616368.861751776,id_country_minx_maxx_miny_maxy,1604,UK,,,-190521.89032565185,-186521.89032565185,6612368.861751776,6616368.861751776,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -190521.89032565185, 6616368.861751776, 0.0)",
test,1612_UK_-114138.6387188054_-110138.6387188054_7091332.323686016_7095332.323686016.tiff,1612_UK_-114138.6387188054_-110138.6387188054_7091332.323686016_7095332.323686016,id_country_minx_maxx_miny_maxy,1612,UK,,,-114138.6387188054,-110138.6387188054,7091332.323686016,7095332.323686016,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -114138.6387188054, 7095332.323686016, 0.0)",
test,1614_UK_-152058.20080462308_-148058.20080462308_6863076.641625856_6867076.641625856.tiff,1614_UK_-152058.20080462308_-148058.20080462308_6863076.641625856_6867076.641625856,id_country_minx_maxx_miny_maxy,1614,UK,,,-152058.20080462308,-148058.20080462308,6863076.641625856,6867076.641625856,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -152058.20080462308, 6867076.641625856, 0.0)",
